user_id,test_id,category,difficulty,score
15,TCS_NQT_Mock,Company,Medium,36.0
15,Infosys_Test,Company,Medium,30.0
15,Coding_Hard,Coding,Hard,50.0
15,Aptitude_Advanced,Aptitude,Hard,42.0
15,Aptitude_Basic,Aptitude,Easy,43.0
16,Logical_Hard,Logical,Hard,95.0
16,Coding_Easy,Coding,Easy,55.0
16,Logical_Medium,Logical,Medium,59.0
16,Infosys_Test,Company,Medium,48.0
16,Coding_Medium,Coding,Medium,40.0
16,Aptitude_Medium,Aptitude,Medium,90.0
17,Infosys_Test,Company,Medium,71.0
17,Logical_Basic,Logical,Easy,56.0
17,Aptitude_Basic,Aptitude,Easy,38.0
17,Coding_Easy,Coding,Easy,65.0
17,Logical_Hard,Logical,Hard,89.0
17,Logical_Medium,Logical,Medium,35.0
18,Wipro_Test,Company,Medium,36.0
18,Aptitude_Basic,Aptitude,Easy,31.0
18,Coding_Medium,Coding,Medium,38.0
18,Logical_Basic,Logical,Easy,82.0
18,Aptitude_Advanced,Aptitude,Hard,33.0
18,Logical_Medium,Logical,Medium,90.0
19,Coding_Hard,Coding,Hard,47.0
19,Coding_Easy,Coding,Easy,74.0
19,TCS_NQT_Mock,Company,Medium,41.0
19,Infosys_Test,Company,Medium,33.0
19,Aptitude_Basic,Aptitude,Easy,51.0
19,Wipro_Test,Company,Medium,74.0
20,Infosys_Test,Company,Medium,86.0
20,Wipro_Test,Company,Medium,45.0
20,Coding_Medium,Coding,Medium,45.0
20,Logical_Medium,Logical,Medium,64.0
20,Aptitude_Basic,Aptitude,Easy,82.0
20,Coding_Easy,Coding,Easy,67.0
21,Logical_Hard,Logical,Hard,74.0
21,Logical_Medium,Logical,Medium,38.0
21,Aptitude_Medium,Aptitude,Medium,59.0
21,Coding_Medium,Coding,Medium,49.0
21,Logical_Basic,Logical,Easy,90.0
21,Wipro_Test,Company,Medium,73.0
22,Logical_Medium,Logical,Medium,90.0
22,TCS_NQT_Mock,Company,Medium,47.0
22,Logical_Basic,Logical,Easy,45.0
22,Coding_Medium,Coding,Medium,65.0
22,Aptitude_Medium,Aptitude,Medium,39.0
22,Wipro_Test,Company,Medium,48.0
23,Coding_Hard,Coding,Hard,66.0
23,Aptitude_Medium,Aptitude,Medium,93.0
23,Coding_Easy,Coding,Easy,65.0
23,Logical_Basic,Logical,Easy,81.0
23,Aptitude_Advanced,Aptitude,Hard,33.0
23,TCS_NQT_Mock,Company,Medium,39.0
24,TCS_NQT_Mock,Company,Medium,82.0
24,Aptitude_Medium,Aptitude,Medium,66.0
24,Aptitude_Advanced,Aptitude,Hard,43.0
24,Logical_Hard,Logical,Hard,89.0
24,Infosys_Test,Company,Medium,41.0
24,Coding_Easy,Coding,Easy,50.0
25,Logical_Medium,Logical,Medium,37.0
25,Infosys_Test,Company,Medium,72.0
25,TCS_NQT_Mock,Company,Medium,55.0
25,Logical_Basic,Logical,Easy,30.0
25,Aptitude_Basic,Aptitude,Easy,33.0
25,Coding_Easy,Coding,Easy,94.0
26,Aptitude_Advanced,Aptitude,Hard,40.0
26,TCS_NQT_Mock,Company,Medium,65.0
26,Wipro_Test,Company,Medium,84.0
26,Aptitude_Basic,Aptitude,Easy,72.0
26,Coding_Easy,Coding,Easy,50.0
26,Coding_Medium,Coding,Medium,48.0
27,Logical_Basic,Logical,Easy,30.0
27,Aptitude_Advanced,Aptitude,Hard,94.0
27,Aptitude_Basic,Aptitude,Easy,54.0
27,Aptitude_Medium,Aptitude,Medium,41.0
27,Infosys_Test,Company,Medium,92.0
27,TCS_NQT_Mock,Company,Medium,38.0
28,Wipro_Test,Company,Medium,79.0
28,Aptitude_Medium,Aptitude,Medium,45.0
28,Aptitude_Basic,Aptitude,Easy,92.0
28,Logical_Basic,Logical,Easy,53.0
28,Coding_Easy,Coding,Easy,47.0
28,Coding_Hard,Coding,Hard,31.0
29,Coding_Easy,Coding,Easy,68.0
29,Logical_Basic,Logical,Easy,65.0
29,Aptitude_Medium,Aptitude,Medium,90.0
29,Aptitude_Basic,Aptitude,Easy,33.0
29,Wipro_Test,Company,Medium,32.0
29,TCS_NQT_Mock,Company,Medium,61.0
30,TCS_NQT_Mock,Company,Medium,60.0
30,Logical_Medium,Logical,Medium,63.0
30,Coding_Medium,Coding,Medium,44.0
30,Aptitude_Medium,Aptitude,Medium,47.0
30,Logical_Hard,Logical,Hard,90.0
30,Wipro_Test,Company,Medium,53.0
31,Aptitude_Advanced,Aptitude,Hard,58.0
31,Aptitude_Basic,Aptitude,Easy,69.0
31,Aptitude_Medium,Aptitude,Medium,45.0
31,Coding_Easy,Coding,Easy,100.0
31,Coding_Hard,Coding,Hard,98.0
31,Coding_Medium,Coding,Medium,58.0
31,Aptitude_Basic,Aptitude,Easy,85.0
31,Coding_Easy,Coding,Easy,78.0
